month,income,obligations,discretionary,total_debits,total_credits,net,opening_balance,closing_balance
2025-06,165000.00,60676.00,50664.50,147879.55,165000.00,17120.45,150000.00,167120.45
2025-07,165000.00,61227.00,43967.15,142478.85,165000.00,22521.15,167120.45,189641.60
2025-08,165000.00,60975.00,55446.45,171325.75,165000.00,-6325.75,189641.60,183315.85
2025-09,165000.00,61319.00,48713.80,160657.80,165000.00,4342.20,183315.85,187658.05
2025-10,165000.00,61660.00,46979.00,152365.00,168104.00,15739.00,187658.05,203397.05
2025-11,176209.00,61270.00,53891.55,158791.05,176209.00,17417.95,203397.05,220815.00
2025-12,165000.00,61210.00,53375.50,161861.20,165000.00,3138.80,220815.00,223953.80
2026-01,165000.00,60879.00,40859.40,145732.60,165000.00,19267.40,223953.80,243221.20
2026-02,187204.00,61453.00,40818.00,115138.55,187204.00,72065.45,243221.20,315286.65
2026-03,165000.00,60625.00,48100.00,149611.60,166816.00,17204.40,315286.65,332491.05
2026-04,180191.00,60940.00,49873.70,173126.60,183636.00,10509.40,332491.05,343000.45
2026-05,165000.00,61745.00,49972.30,152943.60,165000.00,12056.40,343000.45,355056.85
