transaction_id,date,timestamp,account_id,fi_type,direction,mode,amount,narration,balance_after,category,sub_category,is_income,is_obligation,is_discretionary,is_recurring
TXN_AARAV_20250601_0001,2025-06-01,2025-06-01T19:13:35+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,588.90,UPI/DE/MORE SUPERMARKET/Bangalore grocery,149411.10,groceries,grocery_topup,False,False,False,True
TXN_AARAV_20250601_0002,2025-06-01,2025-06-01T21:43:41+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,971.10,CARD/DE/TOIT/Bangalore dining,148440.00,eating_out,weekend_dining,False,False,True,False
TXN_AARAV_20250602_0003,2025-06-02,2025-06-02T08:30:57+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,67.00,CARD/DE/BMRCL METRO/Bangalore fare,148373.00,commute,metro,False,False,False,False
TXN_AARAV_20250602_0004,2025-06-02,2025-06-02T12:02:57+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,245.00,UPI/DE/THIRD WAVE COFFEE/Bangalore coffee,148128.00,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250602_0005,2025-06-02,2025-06-02T14:25:04+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,235.00,UPI/DE/OFFICE CANTEEN/Bangalore lunch,147893.00,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250603_0006,2025-06-03,2025-06-03T09:12:22+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,55.00,CARD/DE/BMRCL METRO/Bangalore fare,147838.00,commute,metro,False,False,False,False
TXN_AARAV_20250603_0007,2025-06-03,2025-06-03T10:42:17+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,176.00,UPI/DE/STARBUCKS/Bangalore coffee,147662.00,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250603_0008,2025-06-03,2025-06-03T12:41:07+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,493.00,UPI/DE/AMAZON/Bangalore household,147169.00,household,household_items,False,False,True,False
TXN_AARAV_20250603_0009,2025-06-03,2025-06-03T22:38:03+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,595.00,UPI/DE/SWIGGY/Bangalore dinner order,146574.00,food_delivery,dinner,False,False,True,False
TXN_AARAV_20250604_0010,2025-06-04,2025-06-04T08:00:12+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,54.00,CARD/DE/BMRCL METRO/Bangalore fare,146520.00,commute,metro,False,False,False,False
TXN_AARAV_20250604_0011,2025-06-04,2025-06-04T11:04:52+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,171.00,UPI/DE/THIRD WAVE COFFEE/Bangalore coffee,146349.00,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250604_0012,2025-06-04,2025-06-04T13:57:43+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,212.00,UPI/DE/ZOMATO/Bangalore lunch,146137.00,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250605_0013,2025-06-05,2025-06-05T12:25:27+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,42000.00,UPI/DE/RENT TO LANDLORD/JUN25,104137.00,rent,monthly_rent,False,True,False,True
TXN_AARAV_20250605_0014,2025-06-05,2025-06-05T13:19:34+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,246.00,UPI/DE/SWIGGY/Bangalore lunch,103891.00,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250605_0015,2025-06-05,2025-06-05T19:00:25+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,368.00,UPI/DE/SWIGGY/Bangalore dinner order,103523.00,food_delivery,dinner,False,False,True,False
TXN_AARAV_20250606_0016,2025-06-06,2025-06-06T11:38:18+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,238.00,UPI/DE/THIRD WAVE COFFEE/Bangalore coffee,103285.00,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250606_0017,2025-06-06,2025-06-06T11:41:41+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,FT,10000.00,NACH/DE/SIP MUTUAL FUND/HDFC BLUECHIP FUND/JUN25,93285.00,sip,mutual_fund_sip,False,True,False,True
TXN_AARAV_20250606_0018,2025-06-06,2025-06-06T14:58:48+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,216.00,UPI/DE/SWIGGY/Bangalore lunch,93069.00,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250606_0019,2025-06-06,2025-06-06T20:19:35+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,1251.90,CARD/DE/BYG BREWSKI/Bangalore dining,91817.10,eating_out,friday_social,False,False,True,False
TXN_AARAV_20250607_0020,2025-06-07,2025-06-07T11:09:43+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,2698.80,UPI/DE/BIGBASKET/Bangalore grocery,89118.30,groceries,weekly_grocery,False,False,False,True
TXN_AARAV_20250607_0021,2025-06-07,2025-06-07T18:12:27+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,3710.20,CARD/DE/H&M/shopping,85408.10,fashion,impulse_shopping,False,False,True,False
TXN_AARAV_20250607_0022,2025-06-07,2025-06-07T18:15:37+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,384.00,UPI/DE/BLUE TOKAI/Indiranagar coffee,85024.10,coffee,weekend_coffee,False,False,True,False
TXN_AARAV_20250608_0023,2025-06-08,2025-06-08T13:32:58+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,444.00,UPI/DE/ZOMATO/Bangalore lunch order,84580.10,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250608_0024,2025-06-08,2025-06-08T19:13:31+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,1581.00,CARD/DE/TOIT/Bangalore dining,82999.10,eating_out,weekend_dining,False,False,True,False
TXN_AARAV_20250609_0025,2025-06-09,2025-06-09T08:13:34+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,170.00,UPI/DE/UBER/Bangalore trip,82829.10,commute,cab_to_work,False,False,True,False
TXN_AARAV_20250609_0026,2025-06-09,2025-06-09T10:49:56+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,123.00,UPI/DE/BLUE TOKAI/Bangalore coffee,82706.10,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250609_0027,2025-06-09,2025-06-09T19:06:54+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,389.00,UPI/DE/UBER/Bangalore trip,82317.10,commute,cab_from_work,False,False,True,False
TXN_AARAV_20250609_0028,2025-06-09,2025-06-09T20:04:36+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,558.00,UPI/DE/FLIPKART/Bangalore household,81759.10,household,household_items,False,False,True,False
TXN_AARAV_20250610_0029,2025-06-10,2025-06-10T09:01:09+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,FT,5000.00,NACH/DE/SIP MUTUAL FUND/AXIS MIDCAP FUND/JUN25,76759.10,sip,mutual_fund_sip,False,True,False,True
TXN_AARAV_20250610_0030,2025-06-10,2025-06-10T10:36:00+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,188.00,UPI/DE/RAPIDO/Bangalore trip,76571.10,commute,cab_to_work,False,False,True,False
TXN_AARAV_20250610_0031,2025-06-10,2025-06-10T11:34:06+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,224.00,UPI/DE/STARBUCKS/Bangalore coffee,76347.10,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250610_0032,2025-06-10,2025-06-10T14:26:58+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,391.00,UPI/DE/SWIGGY/Bangalore lunch,75956.10,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250610_0033,2025-06-10,2025-06-10T20:45:58+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,327.00,UPI/DE/RAPIDO/Bangalore trip,75629.10,commute,cab_from_work,False,False,True,False
TXN_AARAV_20250612_0034,2025-06-12,2025-06-12T01:48:07+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,649.00,CARD/DE/RECURRING/NETFLIX/SUBSCRIPTION,74980.10,subscription,netflix,False,True,False,True
TXN_AARAV_20250612_0035,2025-06-12,2025-06-12T13:26:15+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,1056.00,UPI/DE/BESCOM/ELECTRICITY BILL/JUN25,73924.10,utility,electricity,False,True,False,True
TXN_AARAV_20250612_0036,2025-06-12,2025-06-12T23:46:12+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,359.00,UPI/DE/SWIGGY/late night food,73565.10,food_delivery,late_night_food,False,False,True,False
TXN_AARAV_20250613_0037,2025-06-13,2025-06-13T08:46:48+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,35.00,CARD/DE/BMRCL METRO/Bangalore fare,73530.10,commute,metro,False,False,False,False
TXN_AARAV_20250613_0038,2025-06-13,2025-06-13T10:40:40+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,136.00,UPI/DE/BLUE TOKAI/Bangalore coffee,73394.10,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250613_0039,2025-06-13,2025-06-13T13:15:39+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,296.00,UPI/DE/OFFICE CANTEEN/Bangalore lunch,73098.10,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250613_0040,2025-06-13,2025-06-13T22:43:01+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,532.00,UPI/DE/SWIGGY/late night food,72566.10,food_delivery,late_night_food,False,False,True,False
TXN_AARAV_20250613_0041,2025-06-13,2025-06-13T22:57:20+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,848.00,CARD/DE/TOIT/Bangalore dining,71718.10,eating_out,friday_social,False,False,True,False
TXN_AARAV_20250614_0042,2025-06-14,2025-06-14T01:31:30+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,119.00,CARD/DE/RECURRING/SPOTIFY/SUBSCRIPTION,71599.10,subscription,spotify,False,True,False,True
TXN_AARAV_20250614_0043,2025-06-14,2025-06-14T01:49:48+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,75.00,CARD/DE/RECURRING/ICLOUD/SUBSCRIPTION,71524.10,subscription,icloud,False,True,False,True
TXN_AARAV_20250614_0044,2025-06-14,2025-06-14T15:34:20+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,2691.00,CARD/DE/H&M/shopping,68833.10,fashion,impulse_shopping,False,False,True,False
TXN_AARAV_20250614_0045,2025-06-14,2025-06-14T19:47:34+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,3568.50,CARD/DE/TOIT/Bangalore dining,65264.60,eating_out,weekend_dining,False,False,True,False
TXN_AARAV_20250615_0046,2025-06-15,2025-06-15T13:13:17+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,FT,999.00,FT/DE/ACT FIBERNET/BROADBAND BILL/JUN25,64265.60,utility,broadband,False,True,False,True
TXN_AARAV_20250615_0047,2025-06-15,2025-06-15T17:07:56+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,410.00,UPI/DE/THIRD WAVE COFFEE/Indiranagar coffee,63855.60,coffee,weekend_coffee,False,False,True,False
TXN_AARAV_20250615_0048,2025-06-15,2025-06-15T17:17:26+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,1102.00,UPI/DE/DMART/Bangalore grocery,62753.60,groceries,grocery_topup,False,False,False,True
TXN_AARAV_20250616_0049,2025-06-16,2025-06-16T09:02:42+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,52.00,CARD/DE/BMRCL METRO/Bangalore fare,62701.60,commute,metro,False,False,False,False
TXN_AARAV_20250616_0050,2025-06-16,2025-06-16T12:39:35+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,202.00,UPI/DE/CAFE COFFEE DAY/Bangalore coffee,62499.60,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250617_0051,2025-06-17,2025-06-17T08:43:40+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,60.00,CARD/DE/BMRCL METRO/Bangalore fare,62439.60,commute,metro,False,False,False,False
TXN_AARAV_20250617_0052,2025-06-17,2025-06-17T14:05:15+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,389.00,UPI/DE/SWIGGY/Bangalore lunch,62050.60,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250617_0053,2025-06-17,2025-06-17T19:06:12+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,490.00,UPI/DE/ZOMATO/Bangalore dinner order,61560.60,food_delivery,dinner,False,False,True,False
TXN_AARAV_20250618_0054,2025-06-18,2025-06-18T08:11:14+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,42.00,CARD/DE/BMRCL METRO/Bangalore fare,61518.60,commute,metro,False,False,False,False
TXN_AARAV_20250618_0055,2025-06-18,2025-06-18T12:05:34+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,599.00,UPI/DE/JIO/MOBILE BILL/JUN25,60919.60,utility,mobile,False,True,False,True
TXN_AARAV_20250618_0056,2025-06-18,2025-06-18T13:15:09+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,201.00,UPI/DE/SWIGGY/Bangalore lunch,60718.60,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250618_0057,2025-06-18,2025-06-18T22:31:56+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,391.00,UPI/DE/ZOMATO/Bangalore dinner order,60327.60,food_delivery,dinner,False,False,True,False
TXN_AARAV_20250619_0058,2025-06-19,2025-06-19T08:10:47+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,49.00,CARD/DE/BMRCL METRO/Bangalore fare,60278.60,commute,metro,False,False,False,False
TXN_AARAV_20250619_0059,2025-06-19,2025-06-19T10:32:06+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,157.00,UPI/DE/BLUE TOKAI/Bangalore coffee,60121.60,coffee,morning_coffee,False,False,True,False
TXN_AARAV_20250619_0060,2025-06-19,2025-06-19T12:13:05+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,344.00,UPI/DE/SWIGGY/Bangalore lunch,59777.60,food_delivery,lunch,False,False,True,False
TXN_AARAV_20250620_0061,2025-06-20,2025-06-20T05:21:45+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,CARD,179.00,CARD/DE/RECURRING/AMAZON PRIME/SUBSCRIPTION,59598.60,subscription,amazon_prime,False,True,False,True
TXN_AARAV_20250620_0062,2025-06-20,2025-06-20T08:34:29+05:30,e69326fa-f75f-53d1-915f-cd743d715fa5,deposit,DEBIT,UPI,205.00,UPI/DE/OLA/Bangalore trip,59393.60,commute,cab_to_work,False,False,True,False
