month,total_debits,total_credits,net,opening_balance,closing_balance
2025-06,136749.00,165000.00,28251.00,360000.00,388251.00
2025-07,152582.00,165000.00,12418.00,388251.00,400669.00
2025-08,290351.00,183000.00,-107351.00,400669.00,293318.00
2025-09,171521.00,165000.00,-6521.00,293318.00,286797.00
2025-10,220313.00,165000.00,-55313.00,286797.00,231484.00
2025-11,182069.00,165000.00,-17069.00,231484.00,214415.00
2025-12,214932.00,189000.00,-25932.00,214415.00,188483.00
2026-01,171639.00,165000.00,-6639.00,188483.00,181844.00
2026-02,314466.00,430000.00,115534.00,181844.00,297378.00
2026-03,212221.00,423000.00,210779.00,297378.00,508157.00
2026-04,172868.00,292000.00,119132.00,508157.00,627289.00
2026-05,616915.00,165000.00,-451915.00,627289.00,175374.00
