month,mode,transaction_count,total_debits,total_credits
2025-06,ATM,2,15000.00,0.00
2025-06,CARD,6,1352.00,0.00
2025-06,FT,3,35000.00,269201.00
2025-06,NACH,4,82500.00,0.00
2025-06,UPI,25,101853.00,0.00
2025-07,ATM,1,5000.00,0.00
2025-07,CARD,6,1352.00,0.00
2025-07,FT,4,53000.00,291126.00
2025-07,NACH,5,113500.00,0.00
2025-07,UPI,27,106067.00,0.00
2025-08,ATM,1,3000.00,0.00
2025-08,CARD,7,29352.00,0.00
2025-08,FT,3,57000.00,260615.00
2025-08,NACH,4,82500.00,0.00
2025-08,UPI,28,101360.00,0.00
2025-09,ATM,3,18000.00,0.00
2025-09,CARD,6,1352.00,0.00
2025-09,FT,6,77000.00,288233.00
2025-09,NACH,4,82500.00,0.00
2025-09,UPI,24,117429.00,0.00
2025-10,ATM,1,5000.00,0.00
2025-10,CARD,7,47852.00,0.00
2025-10,FT,5,89000.00,285440.00
2025-10,NACH,4,82500.00,0.00
2025-10,UPI,27,105080.00,0.00
2025-11,ATM,1,3000.00,0.00
2025-11,CARD,6,1352.00,0.00
2025-11,FT,4,113000.00,265157.00
2025-11,NACH,5,124500.00,0.00
2025-11,UPI,33,109878.00,0.00
2025-12,ATM,1,7000.00,0.00
2025-12,CARD,8,127352.00,0.00
2025-12,FT,5,35000.00,415667.00
2025-12,NACH,4,82500.00,0.00
2025-12,UPI,35,113111.00,0.00
2026-01,ATM,2,13000.00,0.00
2026-01,CARD,7,63352.00,0.00
2026-01,FT,6,133000.00,389735.00
2026-01,NACH,4,82500.00,0.00
2026-01,UPI,30,106485.00,0.00
2026-02,ATM,2,8000.00,0.00
2026-02,CARD,6,1352.00,0.00
2026-02,FT,4,73000.00,281478.00
2026-02,NACH,5,108500.00,0.00
2026-02,UPI,33,147455.00,0.00
2026-03,ATM,2,17000.00,0.00
2026-03,CARD,6,1352.00,0.00
2026-03,FT,9,180000.00,1136589.00
2026-03,NACH,4,94500.00,0.00
2026-03,UPI,28,109388.00,0.00
2026-04,ATM,2,13000.00,0.00
2026-04,CARD,7,39352.00,0.00
2026-04,FT,5,130000.00,267789.00
2026-04,NACH,3,64500.00,0.00
2026-04,UPI,25,100896.00,0.00
2026-05,ATM,2,6000.00,0.00
2026-05,CARD,7,2851.00,0.00
2026-05,FT,4,885000.00,291700.00
2026-05,NACH,3,64500.00,0.00
2026-05,UPI,28,105923.00,0.00
