month,credits,debits,net_cashflow,transaction_count
2025-06,269201.00,235705.00,33496.00,40
2025-07,291126.00,278919.00,12207.00,43
2025-08,260615.00,273212.00,-12597.00,43
2025-09,288233.00,296281.00,-8048.00,43
2025-10,285440.00,329432.00,-43992.00,44
2025-11,265157.00,351730.00,-86573.00,49
2025-12,415667.00,364963.00,50704.00,53
2026-01,389735.00,398337.00,-8602.00,49
2026-02,281478.00,338307.00,-56829.00,50
2026-03,1136589.00,402240.00,734349.00,49
2026-04,267789.00,347748.00,-79959.00,42
2026-05,291700.00,1064274.00,-772574.00,44
